manufacturer,manufacturerLabel,countryLabel,headquartersLabel,coordinates
http://www.wikidata.org/entity/Q192814,Harley-Davidson,США,Милуоки,
http://www.wikidata.org/entity/Q357095,Hindustan Aeronautics,Индия,Бангалор,
http://www.wikidata.org/entity/Q29068,Hispano-Suiza,Испания,La Sagrera,
http://www.wikidata.org/entity/Q29068,Hispano-Suiza,Франция,La Sagrera,
http://www.wikidata.org/entity/Q9584,Honda,Япония,Минато,
http://www.wikidata.org/entity/Q29296,Horch,Германия,Цвиккау,Point(12.479540145 50.731848873)
http://www.wikidata.org/entity/Q1636194,Humber,Великобритания,Ковентри,
http://www.wikidata.org/entity/Q292773,IAR,Румыния,Гимбав,
http://www.wikidata.org/entity/Q1653679,IHI Corporation,Япония,Токио,
http://www.wikidata.org/entity/Q60760151,Intuitive Machines,США,Хьюстон,
http://www.wikidata.org/entity/Q1674581,Isotta Fraschini,Италия,Милан,
http://www.wikidata.org/entity/Q29803,Isuzu,Япония,Иокогама,
http://www.wikidata.org/entity/Q161168,Junkers,Германский рейх,Дессау,
http://www.wikidata.org/entity/Q748148,Kawasaki Heavy Industries,Япония,Токио,
http://www.wikidata.org/entity/Q748148,Kawasaki Heavy Industries,Япония,Кобе,
http://www.wikidata.org/entity/Q748148,Kawasaki Heavy Industries,Япония,Kobe Crystal Tower,
http://www.wikidata.org/entity/Q249033,Kawasaki Heavy Industries Motorcycle & Engine,Япония,Акаси,
http://www.wikidata.org/entity/Q1781428,L-3 Communications,США,Нью-Йорк,
http://www.wikidata.org/entity/Q35953,MAN,Германия,Мюнхен,
http://www.wikidata.org/entity/Q659651,MAN Diesel SE,Германия,Аугсбург,
http://www.wikidata.org/entity/Q1881126,MAN Energy Solutions,Германия,Аугсбург,
http://www.wikidata.org/entity/Q128929,MTU Aero Engines,Германия,Мюнхен,
http://www.wikidata.org/entity/Q548006,MTU ONSITE,Германия,Фридрихсхафен,
http://www.wikidata.org/entity/Q35989,Maybach,Германия,Штутгарт,
http://www.wikidata.org/entity/Q42302055,Maybach-Motorenbau,Германия,Фридрихсхафен,
http://www.wikidata.org/entity/Q42302055,Maybach-Motorenbau,Германия,Битигхайм-Биссинген,
http://www.wikidata.org/entity/Q35996,Mazda,Япония,Футю,
http://www.wikidata.org/entity/Q1351854,McLaren,Великобритания,McLaren Technology Centre,
http://www.wikidata.org/entity/Q26966,Mercedes-AMG GmbH,Германия,Аффальтербах,
http://www.wikidata.org/entity/Q76754241,Mercedes-Benz,Германия,Штутгарт,
http://www.wikidata.org/entity/Q27530,Mercedes-Benz Group,Германия,Штутгарт,
http://www.wikidata.org/entity/Q648280,Mitsubishi Heavy Industries,Япония,Минато,
http://www.wikidata.org/entity/Q36033,Mitsubishi Motors,Япония,Минато,
http://www.wikidata.org/entity/Q1964355,Nammo,Норвегия,Рауфосс,
http://www.wikidata.org/entity/Q20165,Nissan,Япония,Иокогама,
http://www.wikidata.org/entity/Q20165,Nissan,Япония,Монтиньи-ле-Бретонне,
